"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases"
"2828","Cote d'Ivoire",2020-05-17,117,2109,48,27,2,1004,17,1078
"2892","Croatia",2020-05-17,117,2226,2,95,0,1936,23,195
"2921","Cuba",2020-05-17,117,1872,10,79,0,1495,35,298
"3030","Cyprus",2020-05-17,117,916,2,17,0,515,0,384
"3109","Czech Republic",2020-05-17,117,8475,20,298,2,5462,40,2715
"3188","Democratic Republic of the Congo",2020-05-17,117,1455,0,61,0,270,0,1124
"3266","Denmark",2020-05-17,117,11125,69,547,4,9425,120,1153
"3352","Diamond Princess Cruise Ship",2020-05-17,117,712,0,13,0,651,0,48
"3407","Djibouti",2020-05-17,117,1401,70,4,0,972,22,425
"3490","Dominica",2020-05-17,117,16,0,0,0,16,1,0
"3572","Dominican Republic",2020-05-17,117,12314,204,428,0,5847,2121,6039
"3591","Ecuador",2020-05-17,117,33182,419,2736,48,3433,0,27013
"3691","Egypt",2020-05-17,117,12229,510,630,18,3172,222,8427
"3805","El Salvador",2020-05-17,117,1338,73,30,4,464,23,844
"3850","Equatorial Guinea",2020-05-17,117,594,0,7,0,22,0,565
"3920","Eritrea",2020-05-17,117,39,0,0,0,39,0,0
"3994","Estonia",2020-05-17,117,1774,4,63,0,938,4,773
"4021","Eswatini",2020-05-17,117,203,1,2,0,73,1,128
"4128","Ethiopia",2020-05-17,117,317,11,5,0,113,0,199
"4166","Fiji",2020-05-17,117,18,0,0,0,15,0,3
"4264","Finland",2020-05-17,117,6347,61,298,1,5000,0,1049
"4394","France",2020-05-17,117,179693,63,28111,579,61327,765,90255
"4453","Gabon",2020-05-17,117,1320,0,11,0,244,0,1065
"4524","Georgia",2020-05-17,117,695,12,12,0,425,6,258
"4596","Germany",2020-05-17,117,176369,617,7962,24,154011,1411,14396
"4692","Ghana",2020-05-17,117,5735,0,29,0,1754,0,3952
"4796","Greece",2020-05-17,117,2834,15,163,1,1374,0,1297
"4882","Grenada",2020-05-17,117,22,0,0,0,14,0,8
"4949","Guatemala",2020-05-17,117,1763,0,33,0,138,0,1592
"4980","Guinea",2020-05-17,117,2658,0,16,0,1133,0,1509
"5024","Guinea-Bissau",2020-05-17,117,990,21,4,0,26,0,960
"5139","Guyana",2020-05-17,117,117,0,10,0,43,0,64
"5191","Haiti",2020-05-17,117,456,98,20,0,21,0,415
"5256","Holy See (Vatican City)",2020-05-17,117,12,0,0,0,2,0,10
"5283","Honduras",2020-05-17,117,2646,81,142,4,319,41,2185
"5378","Hong Kong",2020-05-17,117,1055,3,4,0,1024,2,27
"5504","Hungary",2020-05-17,117,3509,36,451,3,1396,25,1662
"5572","Iceland",2020-05-17,117,1802,0,10,0,1786,0,6
"5671","India",2020-05-17,117,95698,5050,3025,154,36795,2571,55878
"5754","Indonesia",2020-05-17,117,17514,489,1148,59,4129,218,12237
"5856","Iran (Islamic Republic of)",2020-05-17,117,120198,1806,6988,51,94464,1317,18746
"5955","Iraq",2020-05-17,117,3404,144,123,2,2218,92,1063
"6006","Ireland",2020-05-17,117,24112,64,1543,10,19470,0,3099
"6098","Israel",2020-05-17,117,16617,9,272,4,12942,87,3403
"6159","Italy",2020-05-17,117,225435,675,31908,145,125176,2366,68351
"6270","Jamaica",2020-05-17,117,520,3,9,0,127,6,384
"6408","Japan",2020-05-17,117,16285,48,744,19,11153,815,4388
"6498","Jordan",2020-05-17,117,613,6,9,0,408,4,196
"6518","Kazakhstan",2020-05-17,117,6157,307,34,0,3256,276,2867
"6634","Kenya",2020-05-17,117,887,57,50,0,313,12,524
